,label,f1_elo,f2_elo,f1_avg_kd,f1_avg_sig_str_landed,f1_avg_str_landed,f1_avg_td_comp,f1_avg_sub_att,f1_avg_ctrl_time,f2_avg_kd,f2_avg_sig_str_landed,f2_avg_str_landed,f2_avg_td_comp,f2_avg_sub_att,f2_avg_ctrl_time,f1_win_rate,f1_finish_rate,f2_win_rate,f2_finish_rate
0,1,1500.0,1500.0,,,,,,,,,,,,,,,,
1,1,1500.0,1500.0,,,,,,,,,,,,,,,,
2,1,1580.0,1500.0,0.0,5.0,5.0,0.0,1.0,0.0,,,,,,,1.0,1.0,,
3,1,1500.0,1641.8981087754971,,,,,,,0.0,2.5,3.0,0.0,0.0,0.0,,,1.0,1.0
4,1,1500.0,1500.0,,,,,,,,,,,,,,,,
5,1,1420.0,1500.0,0.0,4.0,4.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,
6,1,1610.9701236477526,1580.0,0.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
7,1,1500.0,1500.0,,,,,,,,,,,,,,,,
8,1,1500.0,1500.0,,,,,,,,,,,,,,,,
9,1,1683.8578168134907,1580.0,0.0,2.0,5.5,0.5,0.5,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0
10,1,1740.631400454362,1500.0,0.0,1.3333333333333333,3.6666666666666665,0.6666666666666666,0.6666666666666666,0.0,,,,,,,1.0,0.6666666666666666,,
11,1,1530.9279851277445,1580.0,0.0,2.3333333333333335,2.6666666666666665,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0
12,1,1518.1018912245029,1500.0,0.0,7.5,39.0,0.5,0.0,0.0,,,,,,,0.5,0.0,,
13,1,1523.2264163591287,1500.0,0.0,2.0,10.0,0.5,0.5,0.0,,,,,,,0.5,0.5,,
14,1,1425.3401272666874,1500.0,0.0,1.0,5.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,
15,1,1500.0,1500.0,,,,,,,,,,,,,,,,
16,1,1500.0,1500.0,,,,,,,,,,,,,,,,
17,1,1500.0,1580.0,,,,,,,0.0,3.0,3.0,1.0,0.0,0.0,,,1.0,0.0
18,1,1580.0,1500.0,0.0,8.0,16.0,1.0,0.0,0.0,,,,,,,1.0,0.0,,
19,1,1772.6597919012452,1500.0,0.0,1.5,30.25,0.75,1.0,0.0,,,,,,,1.0,0.75,,
20,1,1500.0,1500.0,,,,,,,,,,,,,,,,
21,1,1800.2245449467885,1500.0,0.0,1.6,27.6,0.6,1.0,0.0,,,,,,,1.0,0.8,,
22,1,1475.869769225808,1500.0,0.0,4.0,27.0,1.0,0.0,0.0,,,,,,,0.0,0.0,,
23,1,1598.1018912245029,1500.0,0.0,6.0,7.0,1.0,0.0,0.0,,,,,,,1.0,0.0,,
24,1,1580.0,1500.0,1.0,34.0,36.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,
25,1,1824.3547757209803,1500.0,0.0,1.3333333333333333,36.333333333333336,0.5,1.3333333333333333,0.0,,,,,,,1.0,0.8333333333333334,,
26,1,1500.0,1500.0,,,,,,,,,,,,,,,,
27,1,1845.7745258703637,1641.8981087754971,0.0,2.142857142857143,35.0,0.5714285714285714,1.2857142857142858,0.0,0.0,0.5,4.0,0.5,0.5,0.0,1.0,0.8571428571428571,1.0,0.5
28,1,1561.417043719098,1500.0,0.0,2.0,13.5,1.5,0.5,0.0,,,,,,,0.5,0.5,,
29,1,1500.0,1500.0,,,,,,,,,,,,,,,,
30,1,1433.9963118101452,1500.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,
31,1,1500.0,1500.0,,,,,,,,,,,,,,,,
32,1,1580.0,1500.0,0.0,19.0,23.0,1.0,0.0,0.0,,,,,,,1.0,0.0,,
33,1,1500.0,1500.0,,,,,,,,,,,,,,,,
34,1,1500.0,1500.0,,,,,,,,,,,,,,,,
35,1,1627.4207319089528,1580.0,0.0,1.3333333333333333,9.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0
36,1,1500.0,1500.0,,,,,,,,,,,,,,,,
37,1,1696.5690066730974,1580.0,0.0,1.5,9.5,1.25,0.75,0.0,,,,,,,0.75,0.75,1.0,1.0
38,1,1510.8517252358554,1580.0,0.0,7.0,8.5,0.5,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0
39,1,1750.6917798282966,1580.0,0.0,1.6,10.0,1.2,0.8,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.8,0.8,1.0,1.0
40,1,1500.0,1500.0,,,,,,,,,,,,,,,,
41,1,1414.45272550671,1500.0,0.0,8.0,12.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,
42,1,1500.0,1500.0,,,,,,,,,,,,,,,,
43,1,1622.1526929673696,1500.0,0.0,5.0,6.75,0.0,0.5,0.0,,,,,,,0.75,0.5,,
44,1,1500.0,1500.0,,,,,,,,,,,,,,,,
45,1,1580.0,1580.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
46,1,1536.4192027133581,1513.7620612566793,0.0,0.0,0.0,0.0,0.5,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0
47,1,1641.8981087754971,1794.2725771149385,0.0,6.0,11.5,1.0,0.5,0.0,0.0,2.6666666666666665,7.833333333333333,0.16666666666666666,0.0,0.0,1.0,0.5,0.8333333333333334,0.6666666666666666
48,1,1611.2095859298838,1660.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.5,6.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0
49,1,1702.3707220697008,1606.5667545875108,0.0,1.0,12.0,0.0,1.5,0.0,0.0,0.6666666666666666,1.6666666666666667,0.0,0.0,0.0,0.75,0.75,0.6666666666666666,0.0
50,1,1500.0,1500.0,,,,,,,0.0,5.0,11.5,0.0,0.0,0.0,,,0.5,0.0
51,1,1580.0,1597.8862890924413,1.0,33.0,54.0,0.0,0.0,0.0,0.0,0.6666666666666666,4.666666666666667,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333
52,1,1580.0,1500.0,,,,,,,,,,,,,1.0,0.0,,
53,1,1500.0,1500.0,,,,,,,,,,,,,,,,
54,1,1500.0,1500.0,,,,,,,,,,,,,,,,
55,1,1420.0,1500.0,0.3333333333333333,6.333333333333333,20.0,0.0,0.3333333333333333,0.0,,,,,,,0.3333333333333333,0.0,,
56,1,1513.771453343768,1500.0,0.0,3.25,7.75,0.75,0.75,0.0,,,,,,,0.5,0.25,,
57,1,1664.1148357486734,1420.0,0.5,18.5,32.5,0.0,1.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
58,1,1518.1018912245029,1500.0,0.25,5.75,23.75,0.25,0.25,0.0,,,,,,,0.5,0.0,,
59,1,1424.1643470485053,1481.8981087754971,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.5,3.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0
60,1,1681.2759718656803,1568.838863860183,0.0,2.7142857142857144,12.857142857142858,1.0,0.5714285714285714,0.0,0.0,6.0,17.0,0.6666666666666666,0.3333333333333333,0.0,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.0
61,1,1714.2627009512635,1760.8536549068697,0.0,9.5,40.375,1.0,0.5,0.0,0.0,4.8,10.2,0.6,0.2,0.0,0.75,0.5,0.8,0.8
62,1,1706.4551847398031,1695.6326345668872,0.0,2.0,13.166666666666666,0.0,1.3333333333333333,0.0,0.0,6.0,17.0,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666
63,1,1752.9604775899759,1548.083821750342,0.0,2.5714285714285716,12.714285714285714,0.0,1.2857142857142858,0.0,0.0,1.75,2.5,0.25,0.0,0.0,0.7142857142857143,0.5714285714285714,0.5,0.0
64,1,1535.8521347745998,1656.0948632711115,0.5,10.25,18.75,0.75,0.25,0.0,0.0,1.5,25.5,0.0,0.5,0.0,0.5,0.0,1.0,0.5
65,1,1768.66117111833,1593.9375441759976,0.0,11.11111111111111,57.888888888888886,0.8888888888888888,0.4444444444444444,0.0,0.0,4.4,12.6,0.0,0.2,0.0,0.7777777777777778,0.4444444444444444,0.6,0.2
66,1,1649.1273417167145,1604.105529326106,0.25,13.0,24.0,0.25,1.25,0.0,0.0,1.6666666666666667,5.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.5,0.6666666666666666,0.3333333333333333
67,1,1517.3370146377024,1500.0,0.0,1.5,8.5,0.0,0.0,0.0,,,,,,,0.5,0.0,,
68,1,1525.8772268448008,1580.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0
69,1,1500.0,1500.0,,,,,,,,,,,,,,,,
70,1,1500.0,1500.0,,,,,,,,,,,,,,,,
71,1,1500.0,1580.0,,,,,,,0.0,9.0,17.0,2.0,1.0,0.0,,,1.0,1.0
72,1,1598.1018912245029,1500.0,0.0,3.0,7.0,1.0,1.0,0.0,,,,,,,1.0,0.0,,
73,1,1551.0888156697677,1500.0,0.16666666666666666,4.333333333333333,16.666666666666668,0.3333333333333333,0.5,0.0,,,,,,,0.5,0.16666666666666666,,
74,1,1580.0,1656.0948632711115,0.0,5.0,19.0,1.0,0.0,0.0,0.0,0.5,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
75,1,1420.0,1500.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,
76,1,1754.894714024755,1472.4352469544567,0.0,4.666666666666667,8.333333333333334,0.6666666666666666,1.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0
77,1,1677.2465993865737,1500.0,0.0,8.5,23.0,0.5,0.0,0.0,,,,,,,1.0,0.0,,
78,1,1420.0,1500.0,0.0,9.0,11.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,
79,1,1500.0,1500.0,,,,,,,,,,,,,,,,
80,1,1811.50989962456,1781.196079904448,0.0,10.0,52.1,0.9,0.6,0.0,0.0,2.5,12.25,0.0,0.0,0.0,0.8,0.5,1.0,0.75
81,1,1719.6412153821454,1500.0,0.3333333333333333,6.666666666666667,16.333333333333332,0.3333333333333333,0.0,0.0,,,,,,,1.0,0.0,,
82,1,1593.3483295559533,1500.0,0.0,1.5,8.5,0.0,0.0,0.0,,,,,,,0.6666666666666666,0.3333333333333333,,
83,1,1500.0,1558.8482638845378,,,,,,,0.0,1.0,6.666666666666667,0.3333333333333333,0.0,0.0,,,0.6666666666666666,0.0
84,1,1500.0,1500.0,,,,,,,,,,,,,,,,
85,1,1500.0,1754.8771932548148,,,,,,,0.0,1.25,7.0,0.25,0.0,0.0,,,1.0,0.0
86,1,1438.1018912245029,1500.0,,,,,,,,,,,,,0.0,0.0,,
87,1,1518.1018912245029,1438.1018912245029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
88,1,1624.856382668629,1652.3567801428273,0.2,13.4,29.6,0.4,0.0,0.0,0.0,2.3333333333333335,3.3333333333333335,0.6666666666666666,0.0,0.0,0.8,0.0,0.75,0.25
89,1,1500.0,1500.0,,,,,,,,,,,,,,,,
90,1,1630.0208105861857,1500.0,0.0,34.0,71.0,3.0,2.0,0.0,,,,,,,1.0,0.0,,
91,1,1465.4260630211418,1500.0,0.0,3.5,5.0,0.75,0.25,0.0,,,,,,,0.5,0.0,,
92,1,1711.1753922550752,1580.0,0.16666666666666666,15.666666666666666,55.0,0.5,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.8333333333333334,0.0,1.0,0.0
93,1,1681.4059245764824,1553.360831880896,0.0,29.5,52.0,2.0,1.0,0.0,0.0,1.8,6.2,0.2,0.0,0.0,1.0,0.0,0.6,0.0
94,1,1642.4841506570174,1555.2407564898012,0.4,8.4,15.6,0.8,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.2,0.6666666666666666,0.0
95,1,1528.846449205852,1500.0,0.0,6.5,20.5,0.5,0.5,0.0,,,,,,,0.5,0.0,,
96,1,1481.8981087754971,1500.0,0.0,4.0,22.5,0.0,0.5,0.0,,,,,,,0.5,0.5,,
97,1,1420.0,1500.0,0.0,9.0,17.0,2.0,1.0,0.0,,,,,,,0.0,0.0,,
98,1,1518.1018912245029,1702.8074570812337,0.0,9.0,17.0,2.0,1.0,0.0,0.0,3.5,11.0,0.3333333333333333,0.16666666666666666,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333
99,1,1733.1885658032159,1602.2195292492834,0.0,30.666666666666668,51.666666666666664,2.0,0.6666666666666666,0.0,0.0,4.666666666666667,11.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0
100,1,1784.383462759829,1500.0,0.0,25.25,44.0,1.75,0.5,0.0,,,,,,,1.0,0.25,,
101,1,1500.0,1500.0,,,,,,,,,,,,,,,,
102,1,1766.5885512442167,1551.0246322926703,0.0,6.4,19.4,0.6,1.0,0.0,0.0,4.25,9.0,0.0,0.0,0.0,0.8,0.6,0.5,0.0
103,1,1580.0,1529.0139927602468,0.0,13.0,39.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0
104,1,1420.0,1500.0,0.0,4.0,20.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,
105,1,1762.3289430492232,1501.5781906541627,0.14285714285714285,15.0,53.142857142857146,0.5714285714285714,0.0,0.0,0.0,2.0,6.5,0.16666666666666666,0.0,0.0,0.8571428571428571,0.0,0.5,0.0
106,1,1631.4495752321234,1518.1018912245029,0.2857142857142857,10.142857142857142,17.285714285714285,0.7142857142857143,0.42857142857142855,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.5,0.0
107,1,1566.0377705563812,1400.9630259592045,0.0,2.0,10.75,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0
108,1,1791.4931235785477,1610.6514070912717,0.125,15.125,50.5,0.5,0.0,0.0,0.0,2.25,8.0,0.5,0.0,0.0,0.875,0.125,0.6666666666666666,0.16666666666666666
109,1,1686.2384561573504,1648.3435933085361,0.25,9.375,16.25,0.625,0.5,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.625,0.25,1.0,0.5
110,1,1833.2459924546527,1757.547278524792,0.1111111111111111,13.444444444444445,44.888888888888886,0.4444444444444444,0.1111111111111111,0.0,0.0,5.444444444444445,12.333333333333334,0.2222222222222222,0.1111111111111111,0.0,0.8888888888888888,0.2222222222222222,0.6666666666666666,0.2222222222222222
111,1,1446.1338810747638,1592.0810702852511,0.0,5.0,5.5,0.5,0.0,0.0,0.0,5.0,10.857142857142858,0.0,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285
112,1,1500.0,1500.0,,,,,,,,,,,,,,,,
113,1,1500.0,1500.0,,,,,,,,,,,,,,,,
114,1,1532.3967170046003,1500.0,0.0,8.666666666666666,74.66666666666667,0.3333333333333333,0.3333333333333333,0.0,,,,,,,0.6666666666666666,0.3333333333333333,,
115,1,1500.0,1500.0,,,,,,,,,,,,,,,,
116,1,1500.0,1500.0,,,,,,,,,,,,,,,,
117,1,1604.9586419734555,1580.0,0.0,6.5,57.0,0.5,0.5,0.0,,,,,,,0.75,0.5,1.0,0.0
118,1,1580.0,1589.4597730736132,1.0,17.0,23.0,0.0,0.0,0.0,0.0,15.0,22.0,1.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333
119,1,1810.4423188129133,1826.1174282847912,0.0,21.6,36.8,1.6,0.8,0.0,0.0,4.363636363636363,13.272727272727273,0.09090909090909091,0.09090909090909091,0.0,1.0,0.4,0.8181818181818182,0.45454545454545453
120,1,1507.2821179227108,1500.0,0.0,23.0,65.66666666666667,0.6666666666666666,0.3333333333333333,0.0,,,,,,,0.5,0.25,,
121,1,1500.0,1500.0,,,,,,,,,,,,,,,,
122,1,1500.0,1500.0,,,,,,,,,,,,,,,,
123,1,1500.0,1500.0,,,,,,,,,,,,,,,,
124,1,1401.8981087754971,1500.0,,,,,,,,,,,,,0.0,0.0,,
125,1,1641.8981087754971,1500.0,0.5,15.5,19.0,0.5,0.0,0.0,,,,,,,1.0,0.0,,
126,1,1450.9701236477526,1500.0,0.0,5.0,19.0,1.0,0.0,0.0,,,,,,,0.0,0.0,,
