,avg_kd_diff,avg_sig_str_landed_diff,avg_sig_str_att_diff,avg_str_landed_diff,avg_str_att_diff,avg_td_comp_diff,avg_td_att_diff,avg_sub_att_diff,avg_ctrl_time_diff,win_rate_diff,finish_rate_diff,total_fights_diff
106,0.2857142857142857,5.142857142857142,3.071428571428573,11.285714285714285,10.357142857142858,0.7142857142857143,0.5,0.42857142857142855,0.0,0.0714285714285714,0.0714285714285714,5
107,0.0,-1.0,0.0,-10.25,-7.5,0.0,0.0,0.0,0.0,0.6,0.4,3
108,0.125,12.875,18.625,42.5,48.875,0.0,0.0,0.0,0.0,0.20833333333333337,0.25,2
109,0.25,5.375,15.125,-3.75,7.375,0.625,1.0,0.5,0.0,-0.375,0.125,6
110,0.1111111111111111,8.0,6.444444444444443,32.55555555555555,31.666666666666668,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2222222222222222,0.11111111111111116,0
111,0.0,0.0,-7.142857142857142,-5.357142857142858,-13.142857142857142,0.5,-0.0714285714285714,-0.14285714285714285,0.0,-0.5714285714285714,-0.42857142857142855,-5
117,,,,,,,,,,-0.25,-0.5,3
118,1.0,2.0,-2.0,1.0,-3.0,-1.0,-2.5,-0.5,0.0,0.33333333333333337,0.6666666666666667,-2
119,0.0,17.236363636363638,17.909090909090907,23.527272727272724,24.963636363636365,1.5090909090909093,1.8363636363636364,0.7090909090909091,0.0,0.18181818181818177,0.5454545454545454,-6
127,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0
128,1.0,6.8,6.199999999999999,3.3000000000000007,1.5,-0.2,-0.4,-0.1,0.0,0.4,0.4,-8
129,0.3333333333333333,9.333333333333334,15.333333333333332,-8.333333333333334,-3.333333333333332,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,2
135,0.0,3.0,4.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
138,0.0,-3.6,-5.8,-3.5999999999999996,-6.4,0.0,-0.2,0.0,0.0,-0.4,-0.4,-4
139,0.0,7.5,5.333333333333333,12.0,9.833333333333332,1.0,0.6666666666666667,0.5,0.0,0.0,0.0,-1
140,0.0,49.18181818181818,51.54545454545455,117.27272727272728,118.54545454545455,-0.18181818181818182,-0.45454545454545453,-0.09090909090909091,0.0,0.4545454545454546,-0.5454545454545454,-10
149,0.5,10.75,20.5,14.25,23.0,0.25,0.5,0.0,0.0,0.08333333333333337,0.08333333333333337,1
150,-0.5,5.0,-11.5,2.3333333333333357,-20.5,0.0,-2.5,-0.33333333333333337,0.0,0.0,0.5,1
155,0.0,4.6,6.333333333333334,45.2,49.733333333333334,0.26666666666666666,0.46666666666666673,0.6,0.0,0.13333333333333341,-0.06666666666666665,2
159,,,,,,,,,,0.0,-1.0,0
165,1.0,31.0,53.0,53.0,76.0,1.0,1.0,1.0,0.0,0.0,-1.0,0
170,0.0,6.0,-3.5,33.5,25.5,0.0,-2.0,1.0,0.0,0.0,-0.5,1
174,0.0,19.0,26.0,59.0,76.0,-3.0,-6.0,0.0,0.0,0.0,-1.0,0
181,0.0,20.0,27.5,76.5,86.5,-0.5,-1.5,1.5,0.0,0.5,0.5,1
182,0.0,8.0,13.5,9.333333333333334,14.0,0.16666666666666663,-0.8333333333333333,-0.3333333333333333,0.0,-0.33333333333333337,-0.16666666666666663,-4
183,2.0,17.25,20.625,28.5,33.125,-0.625,-2.5,-0.25,0.0,0.25,0.25,-7
184,-0.25,16.75,26.916666666666664,22.583333333333336,32.916666666666664,2.4166666666666665,2.25,-0.25,0.0,-0.33333333333333337,-0.4166666666666667,-1
186,,,,,,,,,,-0.5714285714285714,0.42857142857142855,6
190,0.0,-0.5,-23.0,17.0,-4.5,1.5,4.0,0.0,0.0,-1.0,0.0,1
193,1.0,13.5,16.5,1.5,3.0,-1.5,-3.0,0.0,0.0,0.5,0.0,0
194,1.0,22.0,45.0,56.0,79.0,0.0,0.0,-2.0,0.0,0.0,1.0,0
202,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,1
205,0.0,14.65,8.149999999999999,33.55,25.05,-0.2,-0.2,-0.050000000000000044,0.0,-0.30000000000000004,-0.55,-1
208,-1.0,28.0,59.0,44.5,75.5,1.0,1.0,0.0,-14.0,-0.5,-1.0,1
210,0.0,13.0,18.0,21.0,24.75,2.0,4.25,0.75,44.25,0.5,0.5,3
211,0.5,7.5,4.5,28.0,25.5,0.0,0.0,1.25,0.0,0.25,0.5,0
212,1.0,1.0833333333333321,-12.083333333333336,-21.75,-39.083333333333336,-1.25,-3.5,-0.5,-105.0,0.25,0.41666666666666663,-1
213,0.0,6.75,18.75,23.5,45.75,4.25,2.75,0.0,0.0,-0.25,-0.75,-2
218,0.0,2.0,-23.0,9.0,-16.0,-1.0,-3.0,0.0,734.0,0.0,-1.0,0
230,0.0,19.3,43.5,49.5,75.5,3.6,3.5999999999999996,0.0,190.2,0.09999999999999998,-0.09999999999999998,3
237,0.0,-2.083333333333334,6.0,19.25,36.16666666666667,4.583333333333333,4.0,0.6666666666666666,353.3333333333333,-0.33333333333333337,-0.75,-1
241,0.0,3.6666666666666665,9.5,17.666666666666668,24.666666666666668,-0.5,1.666666666666667,0.0,-82.66666666666667,-1.0,-0.5,-2
243,0.0,2.9333333333333336,-8.866666666666667,6.733333333333331,-6.266666666666666,0.9333333333333335,0.7333333333333334,0.46666666666666673,-32.53333333333333,-0.06666666666666665,-0.06666666666666665,2
245,0.0,-6.0,-14.0,-8.0,-17.5,0.5,-0.5,0.5,42.5,-0.5,-0.5,1
246,0.8,10.833333333333332,29.866666666666667,9.899999999999999,28.63333333333333,-0.08333333333333333,-0.5833333333333334,-0.08333333333333333,1.6,0.050000000000000044,0.1833333333333333,-7
250,0.0,20.0,62.5,26.5,69.5,1.5,0.5,1.0,220.0,0.0,-0.5,1
253,-0.25,5.25,-15.25,4.0,-22.25,0.0,0.0,0.0,-17.5,0.25,0.75,0
254,0.0,18.666666666666668,36.0,6.0,19.66666666666667,0.6666666666666666,-0.33333333333333337,0.0,-55.666666666666664,-0.33333333333333337,0.0,2
255,-1.0,-3.5,-12.5,-14.0,-22.0,1.0,1.0,2.5,-16.0,0.0,0.0,1
258,0.0,-0.6666666666666661,-1.6666666666666643,8.5,4.666666666666671,0.0,0.8333333333333335,0.5,-197.5,0.0,-0.16666666666666669,4
259,0.16666666666666666,7.5,3.3333333333333357,42.0,38.83333333333333,1.6666666666666665,-3.166666666666667,0.0,-36.333333333333314,-0.33333333333333337,-0.6666666666666667,5
260,0.0,0.5,-2.166666666666666,8.5,6.333333333333332,0.6666666666666666,3.833333333333333,1.3333333333333333,15.0,0.3333333333333333,0.3333333333333333,1
264,0.8333333333333334,2.833333333333334,15.333333333333336,-4.166666666666668,9.333333333333336,-2.0,-5.0,0.0,-438.8333333333333,-0.16666666666666663,-0.33333333333333337,5
266,0.14285714285714285,16.714285714285715,28.857142857142854,42.66666666666667,54.80952380952381,3.095238095238095,4.095238095238096,0.2857142857142857,314.14285714285717,-0.2857142857142857,-0.5714285714285714,4
268,0.0,2.1714285714285744,-21.714285714285715,20.314285714285717,-4.114285714285714,0.9714285714285713,-0.4571428571428573,0.8,35.4,0.1428571428571429,0.08571428571428574,-2
269,-0.2,15.45,21.950000000000003,8.149999999999999,10.650000000000006,-1.1,-1.1,-0.8,-64.45,0.15000000000000002,0.0,-1
274,1.0,0.21428571428571352,-12.5,-28.92857142857143,-43.71428571428571,0.6428571428571429,-0.4285714285714284,1.1428571428571428,-0.7142857142857143,-0.5,0.07142857142857145,-5
279,0.0,7.666666666666666,11.083333333333332,14.208333333333336,14.708333333333336,0.45833333333333337,-3.541666666666667,-0.7083333333333333,-74.29166666666666,-0.125,0.041666666666666685,5
280,0.0,22.0,53.5,28.5,61.0,-0.5,-3.5,0.5,-248.0,-0.5,-0.5,1
282,0.125,15.0,28.375,26.25,39.25,3.125,4.0,0.25,125.0,-0.25,-0.5,7
283,0.0,47.8,94.6,45.6,91.8,2.8,22.4,-0.4,98.4,-0.6,-0.6,-4
285,0.0,-1.8333333333333335,-2.5,15.166666666666666,14.0,0.8333333333333334,-1.1666666666666665,-0.5,112.0,-0.5,-0.5,-5
286,0.0,1.25,-6.5,-0.75,-10.0,-0.5,-1.0,-0.25,-51.25,-0.5,-0.5,-3
289,0.1111111111111111,19.77777777777778,37.666666666666664,-24.333333333333336,-6.111111111111114,2.888888888888889,1.6666666666666665,0.2222222222222222,263.55555555555554,-0.2222222222222222,0.5555555555555556,8
290,0.2,23.2,40.4,36.4,54.4,0.4,0.4,0.0,33.0,-0.19999999999999996,-0.8,4
291,0.25,26.25,80.25,46.75,101.25,-0.25,-0.25,0.5,155.5,0.0,-0.5,3
292,0.0,17.5,34.5,37.5,60.5,2.5,2.5,0.0,430.0,0.0,0.5,1
293,-0.16666666666666666,19.833333333333336,20.833333333333332,36.5,35.5,1.3333333333333335,5.833333333333334,0.8333333333333334,385.5,0.5,0.5,-5
295,-0.125,7.333333333333332,-13.958333333333336,30.875,9.0,1.2916666666666667,2.0416666666666665,0.6666666666666666,77.16666666666667,0.25,0.04166666666666663,-2
296,-0.6666666666666666,16.0,13.333333333333329,24.666666666666668,21.0,2.0,3.333333333333333,-0.3333333333333333,71.66666666666666,0.0,-0.6666666666666666,0
297,0.0,12.0,3.3333333333333357,11.333333333333336,-6.0,-3.3333333333333335,-3.3333333333333335,0.6666666666666666,-394.3333333333333,0.6666666666666666,0.6666666666666666,2
298,0.5,-14.0,-37.0,12.0,-11.0,-0.5,-11.0,-0.5,82.0,0.5,0.5,0
300,0.0,7.0,15.0,40.0,43.0,6.0,18.0,-1.0,696.0,-0.5,-0.5,-1
301,0.0,22.5,29.5,46.0,52.5,3.0,-2.0,1.0,360.5,0.5,1.0,0
302,0.2,25.866666666666667,72.66666666666667,46.2,94.0,0.26666666666666666,-0.06666666666666665,0.6,281.7333333333333,0.0,-0.6,2
