,label,elo_diff,avg_kd_diff,avg_sig_str_landed_diff,avg_sig_str_att_diff,avg_str_landed_diff,avg_str_att_diff,avg_td_comp_diff,avg_td_att_diff,avg_sub_att_diff,avg_ctrl_time_diff,win_rate_diff,finish_rate_diff,total_fights_diff
633,1,118.1463353108727,0.125,3.5,14.125,2.75,15.125,2.125,10.833333333333334,0.5833333333333334,315.25,0.16666666666666669,-0.20833333333333331,2
640,1,-234.19525389315618,0.1607142857142857,34.348214285714285,58.46428571428571,50.95535714285714,75.79464285714286,2.482142857142857,2.8839285714285716,0.1071428571428571,258.8392857142857,-0.017857142857142905,-0.10714285714285715,-9
648,1,192.18336192347988,0.4444444444444444,31.5,65.61111111111111,22.666666666666664,55.55555555555555,-0.3888888888888889,-4.722222222222222,-0.16666666666666666,-51.05555555555556,0.11111111111111116,-0.16666666666666666,3
650,1,140.12054438276346,-0.14285714285714285,25.142857142857142,50.57142857142857,23.514285714285712,51.88571428571428,2.0285714285714285,4.885714285714285,0.45714285714285713,235.62857142857143,0.4285714285714286,-0.14285714285714285,-2
651,1,39.4626683259512,0.0,18.114285714285714,44.62857142857143,18.0,46.08571428571429,3.2285714285714286,4.371428571428571,0.8857142857142858,61.314285714285745,0.11428571428571432,-0.45714285714285713,2
665,1,135.66955109185483,0.7569444444444444,16.069444444444443,34.91666666666667,-2.3611111111111143,15.298611111111114,-0.47916666666666663,-1.25,-0.2222222222222222,-21.40277777777777,0.09722222222222221,-0.05555555555555555,-2
671,1,-6.480374501312326,0.5,3.1999999999999993,0.5666666666666629,26.5,21.03333333333333,-0.06666666666666643,1.166666666666667,1.4333333333333336,-94.46666666666667,-0.13333333333333341,0.1333333333333333,1
687,1,-80.60206082837226,-0.1,12.6125,-13.274999999999999,40.3875,13.974999999999994,2.175,1.7625000000000002,0.2,257.2625,-0.11250000000000004,0.125,6
689,1,466.47645527492114,0.0,4.4117647058823515,3.6554621848739473,-23.168067226890763,-24.991596638655466,1.8403361344537814,3.436974789915966,0.13445378151260512,268.01680672268907,0.5378151260504201,-0.05042016806722688,10
702,1,-346.6395657054486,0.1111111111111111,5.777777777777779,12.888888888888886,23.833333333333336,32.77777777777777,2.0694444444444446,9.5,0.48611111111111116,358.2361111111111,-0.3194444444444444,-0.013888888888888895,1
